sn,Category,Sub-Category,Brand,Suvidhaa SKU,Product Title,Product Description,Product Image Link,Points
637,Kitchen Appliances,Cookware set,NIRLON,SIL-2069,"Cookware Set, 7-Pieces, Red","Nirlon Non-Stick Aluminium Cookware Set, 7-Pieces, Red",SIL-2069.jpg,TBD
638,Kitchen Appliances,Saucepan,NIRLON,SIL-2070,Nirlon Sauce Pan Big ( 2.6 MM ),Nirlon Sauce Pan Big ( 2.6 MM ),SIL-2070.jpg,TBD
639,Kitchen Appliances,Saucepan,NIRLON,SIL-2071,Nirlon Sauce Pan Medium( 2.6 MM ),Nirlon Sauce Pan Medium( 2.6 MM ),SIL-2071.jpg,TBD
640,Kitchen Appliances,Tapper Pan,NIRLON,SIL-2072,Nirlon Tapper Pan - 20 Cm ( 2.6 MM ),Nirlon Tapper Pan - 20 Cm ( 2.6 MM ),SIL-2072.jpg,TBD
641,Kitchen Appliances,Tapper Pan,NIRLON,SIL-2073,Nirlon Tapper Pan - 22 Cm ( 2.6 MM ),Nirlon Tapper Pan - 22 Cm ( 2.6 MM ),SIL-2073.jpg,TBD
642,Kitchen Appliances,Tawa,NIRLON,SIL-2074,Nirlon Tawa - 12 ( 4 MM ) Wire Handle,Nirlon Tawa - 12 ( 4 MM ) Wire Handle,SIL-2074.jpg,TBD
652,Kitchen Appliances,Cookware set,WONDERCHEF,SIL-2440,Cookware set 3 pcs,Wonderchef Granite Cookware 3 piece Set,SIL-2440.jpg,TBD
653,Kitchen Appliances,Pressure Cooker,WONDERCHEF,SIL-2444,Electric Pressure Cooker with 7-in-1 Functions,"Wonderchef Nutri-Pot Electric Pressure Cooker with 7-in-1 Functions, 6L",SIL-2444.jpg,TBD
656,Audio,Airpods,Boat,SIL-1638,,Boat Airdopes 441 Pro,SIL-1638.jpg,TBD
657,Audio,Bluetooth Speaker,Boat,SIL-1639,,BOAT BLUETOOTH SPEAKER STONE 193,SIL-1639.jpg,TBD
658,Audio,Bluetooth Speaker,Boat,SIL-1640,,BOAT BLUETOOTH SPEAKER STONE 350,SIL-1640.jpg,TBD
659,Audio,Bluetooth Speaker,Boat,SIL-1641,,BOAT BLUETOOTH SPEAKER STONE 650R,SIL-1641.jpg,TBD
660,Audio,Bluetooth Speaker,Boat,SIL-1642,,BOAT BLUETOOTH SPEAKER STONE GRENADE RTL,SIL-1642.jpg,TBD
661,Audio,Earphone,Boat,SIL-1643,BASSHEAD 110,BOAT EARPHONE BASSHEAD 110,SIL-1643.jpg,TBD
662,Audio,Head Phone,Boat,SIL-1644,ROCKERZ 450R,BOAT HEADPHONE ROCKERZ 450R,SIL-1644.jpg,TBD
663,Audio,Neckband,Boat,SIL-1645,ROCKERZ 255R,BOAT NECKBAND ROCKERZ 255R,SIL-1645.jpg,TBD
664,Wearable,Smart watch,Boat,SIL-1646,,BOAT SMART WATCH STORM RTL,SIL-1646.jpg,TBD
665,Wearable,Smart watch,Boat,SIL-1647,,BOAT SMART WATCH WATCH FLASH,SIL-1647.jpg,TBD
666,Wearable,Smart watch,Boat,SIL-1648,,BOAT SMART WATCH WATCH XTEND,SIL-1648.jpg,TBD
667,Audio,Airpods,Boat,SIL-1649,,BOAT TWS AIRDOPES 121V2,SIL-1649.jpg,TBD
668,Audio,Airpods,Boat,SIL-1650,,BOAT TWS AIRDOPES 138,SIL-1650.jpg,TBD
670,Home Appliance,Mixer Grinder ,Bajaj,SIL-1578,Bajaj Classic 750-Watt Mixer Grinder with 3 Jars,Bajaj Classic 750-Watt Mixer Grinder with 3 Jars,SIL-1578.jpg,TBD
671,Kitchen Appliances,Induction Cooktop,Bajaj,SIL-1591,Bajaj Induction Cookers Icx 130,Bajaj Induction Cookers Icx 130,SIL-1591.jpg,TBD
672,Kitchen Appliances,Pressure Cooker,Bajaj,SIL-1625,Bajaj Rice Cooker RCX 3,Bajaj Rice Cooker RCX 3,SIL-1625.jpg,TBD
678,Home Appliance,Juicer,Maharaja,SIL-2019,Maharaja Juicer Mixer Grinder Jmg Odacio Prime,Maharaja Juicer Mixer Grinder Jmg Odacio Prime,SIL-2019.jpg,TBD
679,Kitchen Appliances,Toaster,Maharaja,SIL-2170,POP UP TOASTER MAGIC,Maharaja POP UP TOASTER MAGIC,SIL-2170.jpg,TBD
680,Kitchen Appliances,Sandwich Maker,Maharaja,SIL-2020,Maharaja Sandwich maker : Viva/Viva Plus( With BIS Plug),Maharaja Sandwich maker : Viva/Viva Plus( With BIS Plug),SIL-2020.jpg,TBD
681,Home Appliance,Air Purifier,XIOMI,SIL-2021,MI AIR PURIFIER 3,MI AIR PURIFIER 3,SIL-2021.jpg,TBD
682,Wearable,SMART WATCH,MI,SIL-1635,BAND 3,MI BAND 3,SIL-1635.jpg,TBD
683,Wearable,SMART WATCH,MI,SIL-1636,BAND 3I,MI BAND 3I,SIL-1636.jpg,TBD
684,Wearable,SMART WATCH,MI,SIL-1637,BAND 4,MI BAND 4,SIL-1637.jpg,TBD
686,Home Appliance,STREAMING PLAYER,XIOMI,SIL-2023,MI BOX 4K,MI BOX 4K,SIL-2023.jpg,TBD
687,Laptop Backpak,Backpak,XIOMI,SIL-2024,MI BUSINESS CASUAL BACKPACK,MI BUSINESS CASUAL BACKPACK,SIL-2024.jpg,TBD
689,Audio,Airpods,MI,SIL-2026,EAR BUDS Redmi Earbuds 3 pro,MI EAR BUDS Redmi Earbuds 3 pro,SIL-2026.jpg,TBD
692,Audio,Bluetooth Speaker,XIOMI,SIL-2029,MI OUTDOOR BLUETOOTH SPEAKER (5W),MI OUTDOOR BLUETOOTH SPEAKER (5W),SIL-2029.jpg,TBD
693,Mobile Accessories,Power Bank,MI,SIL-2172,POWEAR BANK 10000 MAH 3I,MI POWEAR BANK 10000 MAH 3I,SIL-2172.jpg,TBD
695,Home Appliance,Table lamp,XIOMI,SIL-2030,MI RECHARGABLE LED LAMP,MI RECHARGABLE LED LAMP,SIL-2030.jpg,TBD
696,Wearable,SMART BAND,XIOMI,SIL-2031,MI SMART BAND 5,MI SMART BAND 5,SIL-2031.jpg,TBD
697,Wearable,SMART WATCH,MI,SIL-2032,BAND 5,"MI Smart Band 5- India's No. 1 Fitness Band, 1.1"" (2.8 cm) AMOLED Color Display, 2 Weeks Battery Life, Personal Activity Intelligence (PAI), 11 Sports Mode, Heart Rate,",SIL-2032.jpg,TBD
